zip,ssacnty,ssastco,countyname,city,stabbr,state
00501,700,33700,Suffolk,Holtsville,NY,New York
00544,700,33700,Suffolk,Holtsville,NY,New York
00601,010,40010,Adjuntas,Adjuntas,PR,Puerto Rico
00602,020,40020,Aguada,Aguada,PR,Puerto Rico
00603,020,40020,Aguada,Aguadilla,PR,Puerto Rico
00603,030,40030,Aguadilla,Aguadilla,PR,Puerto Rico
00604,030,40030,Aguadilla,Aguadilla,PR,Puerto Rico
00605,030,40030,Aguadilla,Aguadilla,PR,Puerto Rico
00610,060,40060,Anasco,Anasco,PR,Puerto Rico
00611,710,40710,Utuado,Angeles,PR,Puerto Rico
00612,070,40070,Arecibo,Arecibo,PR,Puerto Rico
00613,070,40070,Arecibo,Arecibo,PR,Puerto Rico
00616,070,40070,Arecibo,Bajadero,PR,Puerto Rico
00617,090,40090,Barceloneta,Barceloneta,PR,Puerto Rico
00622,120,40120,Cabo Rojo,Boqueron,PR,Puerto Rico
00623,120,40120,Cabo Rojo,Cabo Rojo,PR,Puerto Rico
00627,140,40140,Camuy,Camuy,PR,Puerto Rico
00631,400,40400,Lares,Castaner,PR,Puerto Rico
00638,190,40190,Ciales,Ciales,PR,Puerto Rico
00646,250,40250,Dorado,Dorado,PR,Puerto Rico
00647,270,40270,Guanica,Ensenada,PR,Puerto Rico
00650,265,40265,Florida,Florida,PR,Puerto Rico
00652,070,40070,Arecibo,Garrochales,PR,Puerto Rico
00653,270,40270,Guanica,Guanica,PR,Puerto Rico
00656,290,40290,Guayanilla,Guayanilla,PR,Puerto Rico
00659,320,40320,Hatillo,Hatillo,PR,Puerto Rico
00660,330,40330,Hormigueros,Hormigueros,PR,Puerto Rico
00662,350,40350,Isabela,Isabela,PR,Puerto Rico
00664,360,40360,Jayuya,Jayuya,PR,Puerto Rico
00667,390,40390,Lajas,Lajas,PR,Puerto Rico
00669,400,40400,Lares,Lares,PR,Puerto Rico
00670,060,40060,Anasco,Las Marias,PR,Puerto Rico
00670,140,40140,Camuy,Las Marias,PR,Puerto Rico
00707,470,40470,Maunabo,Maunabo,PR,Puerto Rico
00715,560,40560,Ponce,Mercedita,PR,Puerto Rico
00716,490,40490,Moca,Ponce,PR,Puerto Rico
00717,500,40500,Morovis,Ponce,PR,Puerto Rico
00718,510,40510,Naguabo,Naguabo,PR,Puerto Rico
00719,520,40520,Naranjito,Naranjito,PR,Puerto Rico
00720,530,40530,Orocovis,Orocovis,PR,Puerto Rico
00721,590,40590,Rio Grande,Palmer,PR,Puerto Rico
00723,540,40540,Patillas,Patillas,PR,Puerto Rico
00731,560,40560,Ponce,Ponce,PR,Puerto Rico
00732,560,40560,Ponce,Ponce,PR,Puerto Rico
00733,560,40560,Ponce,Ponce,PR,Puerto Rico
00734,560,40560,Ponce,Ponce,PR,Puerto Rico
00740,120,40120,Cabo Rojo,Puerto Real,PR,Puerto Rico
00741,340,40340,Humacao,Punta Santiago,PR,Puerto Rico
00742,570,40570,Quebradillas,Roosevelt Roads,PR,Puerto Rico
00744,510,40510,Naguabo,Rio Blanco,PR,Puerto Rico
00745,340,40340,Humacao,Rio Grande,PR,Puerto Rico
00751,620,40620,Salinas,Salinas,PR,Puerto Rico
00754,650,40650,San Lorenzo,San Lorenzo,PR,Puerto Rico
00757,670,40670,Santa Isabel,Santa Isabel,PR,Puerto Rico
00765,740,40740,Vieques,Vieques,PR,Puerto Rico
00766,750,40750,Villalba,Villalba,PR,Puerto Rico
00767,760,40760,Yabucoa,Yabucoa,PR,Puerto Rico
00901,640,40640,San Juan,San Juan,PR,Puerto Rico
00902,640,40640,San Juan,San Juan,PR,Puerto Rico
00906,640,40640,San Juan,San Juan,PR,Puerto Rico
00907,640,40640,San Juan,San Juan,PR,Puerto Rico
00908,640,40640,San Juan,San Juan,PR,Puerto Rico
00909,640,40640,San Juan,San Juan,PR,Puerto Rico
00910,640,40640,San Juan,San Juan,PR,Puerto Rico
00911,640,40640,San Juan,San Juan,PR,Puerto Rico
00912,640,40640,San Juan,San Juan,PR,Puerto Rico
00913,640,40640,San Juan,San Juan,PR,Puerto Rico
00914,640,40640,San Juan,San Juan,PR,Puerto Rico
00915,640,40640,San Juan,San Juan,PR,Puerto Rico
00916,640,40640,San Juan,San Juan,PR,Puerto Rico
00917,640,40640,San Juan,San Juan,PR,Puerto Rico
00918,640,40640,San Juan,San Juan,PR,Puerto Rico
00919,640,40640,San Juan,San Juan,PR,Puerto Rico
00920,640,40640,San Juan,San Juan,PR,Puerto Rico
00921,640,40640,San Juan,San Juan,PR,Puerto Rico
00922,640,40640,San Juan,San Juan,PR,Puerto Rico
00923,640,40640,San Juan,San Juan,PR,Puerto Rico
00924,640,40640,San Juan,San Juan,PR,Puerto Rico
00925,640,40640,San Juan,San Juan,PR,Puerto Rico
00926,640,40640,San Juan,San Juan,PR,Puerto Rico
00927,640,40640,San Juan,San Juan,PR,Puerto Rico
00928,640,40640,San Juan,San Juan,PR,Puerto Rico
00929,640,40640,San Juan,San Juan,PR,Puerto Rico
00931,640,40640,San Juan,San Juan,PR,Puerto Rico
00934,110,40110,Bayamon,Fort Buchanan,PR,Puerto Rico
00935,640,40640,San Juan,San Juan,PR,Puerto Rico
00936,640,40640,San Juan,San Juan,PR,Puerto Rico
00937,640,40640,San Juan,San Juan,PR,Puerto Rico
00940,640,40640,San Juan,San Juan,PR,Puerto Rico
00949,690,40690,Toa Baja,Toa Baja,PR,Puerto Rico
00949,640,40640,San Juan,Toa Baja,PR,Puerto Rico
00950,640,40640,San Juan,Toa Baja,PR,Puerto Rico
00950,690,40690,Toa Baja,Toa Baja,PR,Puerto Rico
00975,640,40640,San Juan,San Juan,PR,Puerto Rico
01001,070,22070,Hampden,Agawam,MA,Massachusetts
01002,080,22080,Hampshire,Amherst,MA,Massachusetts
01002,060,22060,Franklin,Amherst,MA,Massachusetts
01002,010,22010,Berkshire,Amherst,MA,Massachusetts
01003,080,22080,Hampshire,Amherst,MA,Massachusetts
01004,080,22080,Hampshire,Amherst,MA,Massachusetts
01005,170,22170,Worcester,Barre,MA,Massachusetts
01007,080,22080,Hampshire,Belchertown,MA,Massachusetts
01008,070,22070,Hampden,Blandford,MA,Massachusetts
01009,070,22070,Hampden,Bondsville,MA,Massachusetts
01010,070,22070,Hampden,Brimfield,MA,Massachusetts
01011,080,22080,Hampshire,Chester,MA,Massachusetts
01011,070,22070,Hampden,Chester,MA,Massachusetts
01011,010,22010,Berkshire,Chester,MA,Massachusetts
01012,080,22080,Hampshire,Chesterfield,MA,Massachusetts
01013,070,22070,Hampden,Chicopee,MA,Massachusetts
01014,070,22070,Hampden,Chicopee,MA,Massachusetts
01020,070,22070,Hampden,Chicopee,MA,Massachusetts
01021,070,22070,Hampden,Chicopee,MA,Massachusetts
01022,070,22070,Hampden,Chicopee,MA,Massachusetts
01026,080,22080,Hampshire,Cummington,MA,Massachusetts
01027,080,22080,Hampshire,Easthampton,MA,Massachusetts
01028,070,22070,Hampden,East Longmeadow,MA,Massachusetts
01029,010,22010,Berkshire,East Otis,MA,Massachusetts
01030,070,22070,Hampden,Feeding Hills,MA,Massachusetts
01031,170,22170,Worcester,Gilbertville,MA,Massachusetts
01032,080,22080,Hampshire,Goshen,MA,Massachusetts
01033,080,22080,Hampshire,Granby,MA,Massachusetts
01034,070,22070,Hampden,Granville,MA,Massachusetts
01035,080,22080,Hampshire,Hadley,MA,Massachusetts
01036,070,22070,Hampden,Hampden,MA,Massachusetts
01036,080,22080,Hampshire,Hampden,MA,Massachusetts
01037,170,22170,Worcester,Hardwick,MA,Massachusetts
01038,080,22080,Hampshire,Hatfield,MA,Massachusetts
01039,080,22080,Hampshire,Haydenville,MA,Massachusetts
01040,070,22070,Hampden,Holyoke,MA,Massachusetts
01041,070,22070,Hampden,Holyoke,MA,Massachusetts
01050,080,22080,Hampshire,Huntington,MA,Massachusetts
01050,070,22070,Hampden,Huntington,MA,Massachusetts
01053,080,22080,Hampshire,Leeds,MA,Massachusetts
01054,060,22060,Franklin,Leverett,MA,Massachusetts
01056,070,22070,Hampden,Ludlow,MA,Massachusetts
01057,070,22070,Hampden,Monson,MA,Massachusetts
01059,080,22080,Hampshire,North Amherst,MA,Massachusetts
01060,080,22080,Hampshire,Northampton,MA,Massachusetts
